gps_id,user_id,latitude,longitude,date_time,speed,bearing,accuracy,provider,address,driving_distance,gps_for,idle_status,last_modified_date_time
3493053,1717,8.38747095,77.14385662,2020-01-03 15:18:31,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,punchIn,Idle,2020-01-03 15:18:42
3493054,1717,8.38747095,77.14385662,2020-01-03 15:18:46,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 15:18:53
3493055,1717,8.38747095,77.14385662,2020-01-03 15:19:12,0.0,0.0,0.0,na,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,activity,Idle,2020-01-03 15:19:21
3493125,1717,8.38747095,77.14385662,2020-01-03 15:33:43,0.55,310.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 15:33:47
3493160,1717,8.38747095,77.14385662,2020-01-03 15:48:38,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 15:48:46
3493332,1717,8.38747095,77.14385662,2020-01-03 16:03:39,0.48,245.4,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 16:33:43
3493333,1717,8.38747095,77.14385662,2020-01-03 16:23:26,1.04,93.3,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 16:33:51
3493334,1717,8.38747095,77.14385662,2020-01-03 16:33:36,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 16:34:00
3493384,1717,8.38747095,77.14385662,2020-01-03 16:48:43,0.32,48.7,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 16:48:48
3493559,1717,8.38747095,77.14385662,2020-01-03 17:03:33,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 17:48:43
3493573,1717,8.38747095,77.14385662,2020-01-03 17:48:38,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 17:53:51
3493601,1717,8.38747095,77.14385662,2020-01-03 17:18:33,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 18:03:39
3493602,1717,8.38747095,77.14385662,2020-01-03 17:33:33,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 18:03:41
3493603,1717,8.38747095,77.14385662,2020-01-03 18:03:35,3.1,242.7,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 18:03:43
3493658,1717,8.38747095,77.14385662,2020-01-03 18:18:34,0.0,0.0,9.648,gps,"Nediyamcode,Amaravila-Karakonam Rd,Kerala 695503,India",0.0,movement,Idle,2020-01-03 18:18:36
